GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bff,com.sanosysalvos.bff.service,AggregationService,151,359,81,29,20,80,49,28,0,22
bff,com.sanosysalvos.bff.client,LocationServiceClient,0,111,0,0,0,16,0,8,0,8
bff,com.sanosysalvos.bff.client,MatchServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,MatchServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,LocationServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,MatchServiceClient,0,128,0,0,0,19,0,9,0,9
bff,com.sanosysalvos.bff.client,LocationServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,LocationServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,PetServiceClient,0,110,0,0,0,16,0,8,0,8
bff,com.sanosysalvos.bff.client,MatchServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,PetServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,PetServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.client,PetServiceClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
bff,com.sanosysalvos.bff.controller,BffController,0,160,1,9,0,32,1,24,0,20
bff,com.sanosysalvos.bff,BffApplication,5,7,0,0,2,2,1,2,1,2
bff,com.sanosysalvos.bff.model,PetDto,36,51,0,0,9,16,9,16,9,16
bff,com.sanosysalvos.bff.model,MatchDto,26,71,2,0,7,21,5,21,4,21
bff,com.sanosysalvos.bff.model,MatchDto.MatchCriteriaDto,17,0,0,0,5,0,5,0,5,0
bff,com.sanosysalvos.bff.model,LocationDto,8,44,0,0,2,13,2,13,2,13
